Package,LibPath,Version,Priority,Built
acepack,C:/Program Files/R/R-3.4.0/library,1.4.1,NA,3.4.0
acs,C:/Program Files/R/R-3.4.0/library,2.0,NA,3.4.0
assertthat,C:/Program Files/R/R-3.4.0/library,0.2.0,NA,3.4.0
backports,C:/Program Files/R/R-3.4.0/library,1.1.2,NA,3.4.3
base,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
base64enc,C:/Program Files/R/R-3.4.0/library,0.1-3,NA,3.4.0
BH,C:/Program Files/R/R-3.4.0/library,1.62.0-1,NA,3.4.0
bindr,C:/Program Files/R/R-3.4.0/library,0.1,NA,3.4.2
bindrcpp,C:/Program Files/R/R-3.4.0/library,0.2,NA,3.4.2
bit,C:/Program Files/R/R-3.4.0/library,1.1-12,NA,3.4.1
bit64,C:/Program Files/R/R-3.4.0/library,0.9-7,NA,3.4.1
bitops,C:/Program Files/R/R-3.4.0/library,1.0-6,NA,3.4.0
blob,C:/Program Files/R/R-3.4.0/library,1.1.0,NA,3.4.2
blogdown,C:/Program Files/R/R-3.4.0/library,0.0.50,NA,3.4.0
bookdown,C:/Program Files/R/R-3.4.0/library,0.4,NA,3.4.0
boot,C:/Program Files/R/R-3.4.0/library,1.3-19,recommended,3.4.0
broom,C:/Program Files/R/R-3.4.0/library,0.4.2,NA,3.4.0
caTools,C:/Program Files/R/R-3.4.0/library,1.17.1,NA,3.4.0
cellranger,C:/Program Files/R/R-3.4.0/library,1.1.0,NA,3.4.0
checkmate,C:/Program Files/R/R-3.4.0/library,1.8.2,NA,3.4.0
choroplethr,C:/Program Files/R/R-3.4.0/library,3.6.1,NA,3.4.0
choroplethrMaps,C:/Program Files/R/R-3.4.0/library,1.0.1,NA,3.4.0
chron,C:/Program Files/R/R-3.4.0/library,2.3-51,NA,3.4.3
class,C:/Program Files/R/R-3.4.0/library,7.3-14,recommended,3.4.0
cli,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.3
clipr,C:/Program Files/R/R-3.4.0/library,0.4.0,NA,3.4.3
clisymbols,C:/Program Files/R/R-3.4.0/library,1.2.0,NA,3.4.3
cluster,C:/Program Files/R/R-3.4.0/library,2.0.6,recommended,3.4.0
codetools,C:/Program Files/R/R-3.4.0/library,0.2-15,recommended,3.4.0
colorspace,C:/Program Files/R/R-3.4.0/library,1.3-2,NA,3.4.0
compiler,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
config,C:/Program Files/R/R-3.4.0/library,0.2,NA,3.4.2
crayon,C:/Program Files/R/R-3.4.0/library,1.3.4,NA,3.4.3
crosstalk,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.1
curl,C:/Program Files/R/R-3.4.0/library,3.1,NA,3.4.3
d3heatmap,C:/Program Files/R/R-3.4.0/library,0.6.1.1,NA,3.4.0
data.table,C:/Program Files/R/R-3.4.0/library,1.10.4-3,NA,3.4.3
datasets,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
DBI,C:/Program Files/R/R-3.4.0/library,0.6-1,NA,3.4.0
dbplyr,C:/Program Files/R/R-3.4.0/library,1.1.0,NA,3.4.2
dendextend,C:/Program Files/R/R-3.4.0/library,1.5.2,NA,3.4.0
DEoptimR,C:/Program Files/R/R-3.4.0/library,1.0-8,NA,3.4.0
desc,C:/Program Files/R/R-3.4.0/library,1.1.1,NA,3.4.3
devtools,C:/Program Files/R/R-3.4.0/library,1.13.3,NA,3.4.1
dichromat,C:/Program Files/R/R-3.4.0/library,2.0-0,NA,3.4.0
digest,C:/Program Files/R/R-3.4.0/library,0.6.12,NA,3.4.0
diptest,C:/Program Files/R/R-3.4.0/library,0.75-7,NA,3.4.0
directlabels,C:/Program Files/R/R-3.4.0/library,2017.03.31,NA,3.4.3
dplyr,C:/Program Files/R/R-3.4.0/library,0.7.4,NA,3.4.2
DT,C:/Program Files/R/R-3.4.0/library,0.2.12,NA,3.4.0
